id|source|target|date|time|amount|currency|TYPE
1001|165b4cb3-124a-437f-8687-bea14d697124|3d8e6810-4a01-462c-a8eb-1c732c4fc40f|2019-08-02|13:07:42|43721.0|USD|CIRCULAR_T2
1002|3d8e6810-4a01-462c-a8eb-1c732c4fc40f|e44f7997-f311-472a-a172-f9289f37f07c|2019-08-03|14:11:19|49841.94|USD|CIRCULAR_T2
1003|e44f7997-f311-472a-a172-f9289f37f07c|8058ebd2-d745-4b6e-be3a-af59be0db95e|2019-08-04|15:14:56|56819.81|USD|CIRCULAR_T2
1004|8058ebd2-d745-4b6e-be3a-af59be0db95e|6c01de06-3650-4448-970b-e9489260355c|2019-08-05|16:18:33|64774.58|USD|CIRCULAR_T2
1005|6c01de06-3650-4448-970b-e9489260355c|31b0e7d1-9e96-4b61-bcd0-0bcf53d999d7|2019-08-06|17:22:10|73195.28|USD|CIRCULAR_T2
1006|31b0e7d1-9e96-4b61-bcd0-0bcf53d999d7|8d13ddd0-e4ca-4fec-8168-d7bac1b8a4b0|2019-08-07|18:25:47|63679.89|USD|CIRCULAR_T2
1007|376496fb-bfb2-4c6f-ba46-a95dca2a51e3|beb52af3-3307-4ac3-84f8-a675bdf7cab9|2019-08-02|13:07:42|52228.0|USD|CIRCULAR_T2
1008|beb52af3-3307-4ac3-84f8-a675bdf7cab9|740a86da-2607-478a-9a53-4e7ab9e3b183|2019-08-03|14:11:19|48049.76|USD|CIRCULAR_T2
1009|740a86da-2607-478a-9a53-4e7ab9e3b183|f4f74c50-c12a-41ae-9957-c41f6e612ce5|2019-08-04|15:14:56|51893.74|USD|CIRCULAR_T2
1010|f4f74c50-c12a-41ae-9957-c41f6e612ce5|51fb6213-1c00-477e-b426-58d5e9b5e1b3|2019-08-05|16:18:33|49299.05|USD|CIRCULAR_T2
1011|51fb6213-1c00-477e-b426-58d5e9b5e1b3|3a3ca87f-6223-459b-a5a8-049c2b15204a|2019-08-06|17:22:10|48806.06|USD|CIRCULAR_T2
1012|3a3ca87f-6223-459b-a5a8-049c2b15204a|70603773-cd48-433e-a5d5-ab2cccbab3c7|2019-08-07|18:25:47|52710.54|USD|CIRCULAR_T2
1013|70603773-cd48-433e-a5d5-ab2cccbab3c7|0055e745-6f55-48ba-8046-126c9d51ab0f|2019-08-08|19:29:24|47439.49|USD|CIRCULAR_T2
1014|0055e745-6f55-48ba-8046-126c9d51ab0f|441ff1e9-0f96-43e9-85bc-53c2b8094da3|2019-08-09|20:33:01|46490.7|USD|CIRCULAR_T2
1015|71300d8e-f569-45a3-82f9-cd1571055d8b|32c5d298-922a-45c7-9737-f4a21a0bbe0a|2019-08-02|13:07:42|14842.0|USD|CIRCULAR_T2
1016|32c5d298-922a-45c7-9737-f4a21a0bbe0a|0837f1ea-d390-4a5e-b480-438bc6af8804|2019-08-03|14:11:19|15138.84|USD|CIRCULAR_T2
1017|0837f1ea-d390-4a5e-b480-438bc6af8804|325295be-c038-4255-8ae2-6d3b2825e961|2019-08-04|15:14:56|14684.67|USD|CIRCULAR_T2
1018|325295be-c038-4255-8ae2-6d3b2825e961|a905a8f0-a5ab-460a-abcf-46add44f8e5b|2019-08-05|16:18:33|13216.2|USD|CIRCULAR_T2
1019|a905a8f0-a5ab-460a-abcf-46add44f8e5b|3d6e1e5c-bab4-425f-964f-bac1869c52b0|2019-08-06|17:22:10|14537.82|USD|CIRCULAR_T2
1020|3d6e1e5c-bab4-425f-964f-bac1869c52b0|caaa750a-7cc1-436f-967e-689a2de5063e|2019-08-07|18:25:47|15264.71|USD|CIRCULAR_T2
1021|caaa750a-7cc1-436f-967e-689a2de5063e|1dd2d5bf-f9fe-4c8b-8814-e0fee2ca9a1f|2019-08-08|19:29:24|13890.89|USD|CIRCULAR_T2
1022|1dd2d5bf-f9fe-4c8b-8814-e0fee2ca9a1f|569035a8-1ed2-4207-8c8a-ad0943fbba98|2019-08-09|20:33:01|13196.35|USD|CIRCULAR_T2
1023|569035a8-1ed2-4207-8c8a-ad0943fbba98|6e04cca4-5208-4dd9-94e6-3fd9ed5add96|2019-08-10|21:36:38|15043.84|USD|CIRCULAR_T2
